[    670,     153;
 387.072, 131.328;
 364.954, 136.858;
 1045.09, 159.667;
 377.395, 163.814;
 248.832, 149.299;
 240.538,  72.576;
 406.426, 217.728;
 400.205, 130.637;
 418.867, 161.741;
 379.469, 151.373;
 976.666, 149.299;
 331.776, 105.754;
 134.784, 105.754;
 846.029, 153.446;
 427.162,  184.55;
 159.667, 66.3552;
 114.048, 118.195;
 352.512, 109.901;
 1038.87,  132.71;
 493.517, 157.594;
 128.563, 116.122;
 875.059, 66.3552;
 356.659, 109.901;
 661.479, 124.416;
 190.771, 143.078;
 346.291, 153.446;
 143.078, 85.0176;
 358.733, 147.226;
 447.898,  184.55;
 375.322,  155.52;
 447.898, 165.888;
  443.75, 165.888;
 503.885, 141.005;
 122.342, 87.0912;
 418.867, 226.022;
 389.837, 165.888;
  829.44, 95.3856;
 381.542, 159.667;
 1040.95, 147.226;
 367.027, 234.317;
 1105.23, 147.226;
 1082.42, 147.226;
  829.44,  82.944;
 387.763, 159.667;
 398.131, 203.213;
 400.205, 217.728;
 454.118, 172.109;
  414.72, 190.771;
 369.101, 145.152;
 406.426, 196.992;
 389.837, 221.875;
 860.544,  72.576;
  955.93, 286.157;
 848.517, 82.1146;
 126.904, 114.463;
 114.463, 119.439;
 390.666, 166.717;
 408.085, 218.972;
 1040.12, 131.881;
 848.517, 151.788;
 141.834, 87.0912;
 437.944, 206.531;
  977.91, 149.299;
 1040.12, 126.904;
 420.526, 223.949;
 353.342, 109.486;
 455.363, 171.694;
 388.178, 159.253;
 828.611, 94.5562;
 398.131, 204.042;
 664.382, 124.416;
 447.898, 184.136;
 1047.58, 159.253;
 1074.95, 109.486;
 375.736, 164.229;
 363.295, 114.463;
 1040.12, 146.811;
 1084.91, 146.811;
 338.412, 104.509;
  1107.3, 146.811;
 398.131, 134.369;
 420.526, 159.253;
 445.409, 166.717;
 348.365, 154.276;
 253.809, 149.299;
 828.611, 84.6029;
 408.085, 196.577;
 358.318, 149.299;
 134.369, 102.021;
 363.295, 134.369;
 427.991, 184.136;
 661.893, 149.299;
 330.947, 104.509;
  948.05, 139.346;
 440.433, 216.484;
 248.832, 149.299;
 960.492, 151.788;
 412.066, 197.075;
 958.501, 149.299;
 1048.08, 158.257;
 331.444, 104.509;
  409.08, 220.963;
 388.178, 158.257;
 830.104, 92.5655;
 149.299, 143.327;
 1039.12, 131.383;
 976.417, 149.299;
 397.136, 137.355;
 444.912, 167.215;
 1048.08, 110.481;
 280.683, 214.991;
 113.467, 119.439;
  349.36, 155.271;
 107.495, 131.383;
 352.346, 107.495;
  453.87, 170.201;
 370.262, 119.439;
 1039.12, 146.313;
 1083.91, 146.313;
 125.411, 113.467;
  438.94, 217.977;
 662.889, 125.411;
 429.982, 185.131;
 1104.81, 146.313;
 134.369, 101.523;
  364.29, 134.369;
 949.543, 137.355;
  848.02, 152.285;
 337.416, 104.509;
 421.024, 223.949;
 325.472, 98.5375;
 397.136, 203.047;
  438.94, 206.033;
 111.079, 121.828;
 437.148, 214.991;
 365.485, 132.578;
 125.411, 111.079;
 429.982, 182.742;
 849.214, 150.494;
 437.148, 179.159;
 1071.37, 111.079;
 347.569, 154.077;
 1046.29, 114.662;
 662.889, 125.411;
  945.96, 139.744;
 351.152,  146.91;
 444.315,  168.41;
 150.494, 139.744;
  394.15, 136.161;
 1103.62,  146.91;
 1082.12,  146.91;
 401.316, 211.408;
  956.71,  146.91;
 974.625,  146.91;
 365.485, 114.662;
 1035.54, 128.995;
 419.232, 222.157;
 1031.96,  146.91;
 279.488, 214.991;
 498.062, 161.243;
 412.066, 197.075;
 408.483, 222.157;
 143.327, 125.411;
 376.234, 161.243]
