[      0,      43;
       1,      21;
       2,      89;
       3,     286;
       4,      32;
       5,      55;
       6,      88;
       7,     110;
       8,     168;
       9,      64;
      10,      33;
      11,     144;
      12,     173;
      13,       0;
      14,     250;
      15,     483;
      16,      60;
      17,      91;
      18,       7;
      19,      71;
      20,      49;
      21,     233;
      22,     138;
      23,       8;
      24,     170;
      25,      94;
      26,      37;
      27,     191;
      28,     107;
      29,       2;
      30,     153;
      31,       4;
      32,      57;
      33,     226;
      34,       3;
      35,      52;
      36,     177;
      37,      58;
      38,      30;
      39,      17;
      40,      21;
      41,     385;
      42,      56;
      43,      26;
      44,     231;
      45,       5;
      46,      77;
      47,      92;
      48,      28;
      49,      17;
      50,     371;
      51,     108;
      52,     439;
      53,     404;
      54,     308;
      55,      85;
      56,      13;
      57,     427;
      58,      76;
      59,      78;
      60,      69;
      61,      73;
      62,      80;
      63,      98;
      64,      99;
      65,      15;
      66,      76;
      67,     428;
      68,     161;
      69,      84;
      70,     233;
      71,      74;
      72,     275;
      73,      31;
      74,      58;
      75,     172;
      76,      93;
      77,     278;
      78,     163;
      79,     262;
      80,     262;
      81,     467;
      82,     164;
      83,      83;
      84,      72;
      85,      29;
      86,     160;
      87,      47;
      88,     266;
      89,     443;
      90,     172;
      91,     473;
      92,      99;
      93,     353;
      94,      92;
      95,     233;
      96,     308;
      97,     465;
      98,      26;
      99,     164;
     100,     141;
     101,     342;
     102,     478;
     103,     177;
     104,     151;
     105,      57;
     106,     215;
     107,      54;
     108,      74;
     109,     132;
     110,     112;
     111,     154;
     112,     379;
     113,       4;
     114,     138;
     115,     151;
     116,     260;
     117,     142;
     118,     126;
     119,     111;
     120,     239;
     121,     247;
     122,     293;
     123,     110;
     124,     246;
     125,     143;
     126,      55;
     127,     141;
     128,     109;
     129,     235;
     130,     261;
     131,     129;
     132,     144;
     133,     134;
     134,     160;
     135,     124;
     136,     117;
     137,     226;
     138,     127;
     139,     177;
     140,     136;
     141,     239;
     142,     133;
     143,     137;
     144,     113;
     145,     228;
     146,     128;
     147,     115;
     148,     140;
     149,     125;
     150,     150;
