[      0,     100;
     457,      64;
     458,     443;
     459,     464;
     460,     446;
     461,     454;
     462,     443;
     463,     489;
     464,     466;
     465,     488;
     466,     326;
     467,     420;
     468,     462;
     469,     485;
     470,     475;
     471,     415;
     472,     487;
     473,     420;
     474,     479;
     475,     482;
     476,     484;
     477,     476;
     478,     488;
     479,     490;
     480,     492;
     481,     489;
     482,     499;
     483,     495;
     484,     478;
     485,     480;
     486,     469;
     487,     471;
     488,     209;
     489,     483;
     490,     335;
     491,     494;
     492,     498;
     493,     486;
     494,      56;
     495,     301;
     496,     477;
     497,     490;
     498,     438;
     499,     470]
