[      0,      98;
       1,      90;
       2,     428;
       3,     164;
       4,      69;
       5,     227;
       6,     170;
       7,      31;
       8,     112;
       9,     358;
      10,       3;
      11,      58;
      12,      59;
      13,      99;
      14,     125;
      15,      26;
      16,     216;
      17,      71;
      18,      38;
      19,     235;
      20,       7;
      21,     160;
      22,      78;
      23,      41;
      24,     370;
      25,     488;
      26,     355;
      27,      24;
      28,     278;
      29,     128;
      30,      55;
      31,      64;
      32,     120;
      33,     427;
      34,      70;
      35,     138;
      36,     171;
      37,     111;
      38,     132;
      39,      84;
      40,     156;
      41,      94;
      42,     427;
      43,      97;
      44,     104;
      45,      45;
      46,      74;
      47,     100;
      48,      79;
      49,     489;
      50,      66;
      51,     146;
      52,     451;
      53,      29;
      54,     119;
      55,      33;
      56,      44;
      57,     337;
      58,      30;
      59,      99;
      60,      87;
      61,      82;
      62,     103;
      63,      52;
      64,      83;
      65,     190;
      66,      57;
      67,     256;
      68,      86;
      69,      75;
      70,      11;
      71,      73;
      72,      47;
      73,      95;
      74,     166;
      75,     153;
      76,     145;
      77,      77;
      78,      23;
      79,      56;
      80,     131;
      81,      46;
      82,      88;
      83,       0;
      84,      11;
      85,       4;
      86,      10;
      87,      14;
      88,      64;
      89,     123;
      90,      41;
      91,      52;
      92,     196;
      93,     216;
      94,     113;
      95,       5;
      96,     471;
      97,     151;
      98,      54;
      99,     308;
     100,     328;
     101,     273;
     102,     274;
     103,     166;
     104,      91;
     105,     427;
     106,     120;
     107,      83;
     108,     182;
     109,     116;
     110,     241;
     111,     140;
     112,     119;
     113,     182;
     114,     163;
     115,     403;
     116,     150;
     117,     247;
     118,     248;
     119,     118;
     120,     161;
     121,     222;
     122,     144;
     123,     173;
     124,     263;
     125,     303;
     126,     115;
     127,     497;
     128,     114;
     129,     166;
     130,     216;
     131,     321;
     132,     129;
     133,     143;
     134,     244;
     135,     111;
     136,     138;
     137,     205;
     138,     404;
     139,     113;
     140,     124;
     141,     230;
     142,      46;
     143,     110;
     144,      55;
     145,     109;
     146,     126;
     147,     215;
     148,       5;
     149,     160;
     150,     147;
     151,     194;
     152,     260;
     153,     130;
     154,     228;
     155,      79;
     156,     250;
     157,     158;
     158,     488;
     159,     407;
     160,     186;
     161,     151;
     162,     347;
     163,      83;
     164,     116;
     165,     132;
     166,     234;
     167,     100;
     168,     134;
     169,     354;
     170,      89;
     171,     162;
     172,     145;
     173,     135;
     174,     144;
     175,     175;
     176,     169;
     177,     153;
     178,     100;
     179,      38;
     180,     489;
     181,     278;
     182,     127;
     183,     365;
     184,     123;
     185,     261;
     186,      95;
     187,     149;
     188,     191;
     189,     384;
     190,      40;
     191,       4;
     192,     188;
     193,      11;
     194,      38;
     195,     171;
     196,     482;
     197,     187;
     198,      60;
     199,     247;
     200,     355;
     201,     234;
     202,     275;
     203,     216;
     204,     140;
     205,     260;
     206,      59;
     207,     244;
     208,     218;
     209,     252;
     210,     155;
     211,     227;
     212,     258;
     213,     243;
     214,     301;
     215,     215;
     216,     249;
     217,     262;
     218,     224;
     219,     278;
     220,     238;
     221,     205;
     222,     199;
     223,     210;
     224,     250;
     225,     235;
     226,     240;
     227,     222;
     228,     209;
     229,     365;
     230,     259;
     231,     202;
     232,     418;
     233,     228;
     234,     257;
     235,     241;
     236,     251;
     237,     206;
     238,     242;
     239,     201;
     240,     147;
     241,     252;
     242,     254;
     243,     100;
     244,     329;
     245,     273;
     246,      28;
     247,     232;
     248,     307;
     249,     208;
     250,     382;
     251,     221;
     252,     268;
     253,     294;
     254,     489;
     255,     313;
     256,     438;
     257,     219;
     258,     303;
     259,     182;
     260,     207;
     261,     231;
     262,     236;
     263,     305;
     264,      64;
     265,     285;
     266,     113;
     267,     267;
     268,     100;
     269,     229;
     270,     161;
     271,     268;
     272,     181;
     273,     432;
     274,     325;
     275,     256;
     276,     498;
     277,     322;
     278,     316;
     279,     392;
     280,     288;
     281,     308;
     282,     401;
     283,     286;
     284,     343;
     285,     345;
     286,     274;
     287,     321;
     288,     279;
     289,     216;
     290,     318;
     291,      37;
     292,     252;
     293,     327;
     294,     307;
     295,     310;
     296,     323;
     297,     320;
     298,     315;
     299,     268;
     300,     277;
     301,     304;
     302,     282;
     303,     314;
     304,     498;
     305,     294;
     306,     232;
     307,     234;
     308,     301;
     309,     229;
     310,     344;
     311,     190;
     312,     153;
     313,      64;
     314,     301;
     315,     290;
     316,     311;
     317,     342;
     318,     455;
     319,     365;
     320,     306;
     321,      38;
     322,     373;
     323,     289;
     324,     328;
     325,     329;
     326,     277;
     327,     283;
     328,     313;
     329,     292;
     330,     285;
     331,     332;
     332,     251;
     333,      42;
     334,     300;
     335,     343;
     336,      42;
     337,     292;
     338,     325;
     339,     381;
     340,     374;
     341,     202;
     342,     358;
     343,     367;
