[      0,       4;
     457,     436;
     458,     114;
     459,     468;
     460,      80;
     461,     464;
     462,     452;
     463,     496;
     464,     446;
     465,     467;
     466,     445;
     467,     437;
     468,      34;
     469,     445;
     470,     477;
     471,     499;
     472,     470;
     473,     487;
     474,     452;
     475,      50;
     476,     491;
     477,     472;
     478,     490;
     479,     482;
     480,     484;
     481,     485;
     482,     478;
     483,     474;
     484,     469;
     485,     489;
     486,     481;
     487,     487;
     488,     471;
     489,     493;
     490,     480;
     491,     479;
     492,      93;
     493,     494;
     494,     475;
     495,     484;
     496,     465;
     497,     425;
     498,     434;
     499,     497]
